2025-02-07 02:07:53,650 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:08:01,398 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-archive, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:08:16,082 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series-2010-2011, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:08:37,679 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2010-2011/index, status <404>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:08:38,197 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2011-2012/index, status <404>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:08:38,715 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2012-2013/index, status <404>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:08:39,232 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2013-2014/index, status <404>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:08:39,750 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series-2011-2012, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:08:57,789 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series-2012-2013, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:09:14,827 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series-2013-2014, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:09:36,872 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2014-2015, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:09:57,912 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2015-2016, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:10:19,951 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2016-2017, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:10:42,490 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2017-2018, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:11:09,051 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2018-2019, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:11:29,143 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/JuliaPalaciosAbstract6-6-19, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-07 02:11:29,660 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/TianZhengAbstract5-30-19, status <200>, using cache ('styx.ics.uci.edu', 9002).
