2025-02-08 04:02:31,508 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:02:39,279 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-archive, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:02:53,998 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series-2010-2011, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:03:15,617 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2010-2011/index, status <404>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:03:16,140 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2011-2012/index, status <404>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:03:16,664 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2012-2013/index, status <404>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:03:17,184 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2013-2014/index, status <404>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:03:17,811 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series-2011-2012, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:03:35,873 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series-2012-2013, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:03:52,931 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series-2013-2014, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:04:15,021 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2014-2015, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:04:36,083 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2015-2016, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:04:58,143 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2016-2017, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:05:20,705 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2017-2018, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:05:47,273 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2018-2019, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:06:07,491 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/JuliaPalaciosAbstract6-6-19, status <200>, using cache ('styx.ics.uci.edu', 9002).
2025-02-08 04:06:08,017 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/TianZhengAbstract5-30-19, status <200>, using cache ('styx.ics.uci.edu', 9002).
